# canon_hash: 0590b719443d6302cb1d02f70d5f4c299bc4ebb27be6256e4eb385eb0e8936e5
# repro_hash: 53a297fb7b7e5e9f21d6d10f22b2195cb3482fde5751d0c6660aa21ebeff14d8
# output_digest: d888aac58cdbd266fa9b30b135d8eab536c4055f004dd5ae5673b6008da91a25
# preset: matter_only
# alpha_mem: 0.3333333333333333
# idx0: 299
# H0_code: 0.34156502601993227
z,H_code,E_z
0.6515258395321815,0.8207465903145715,2.402899968648067
0.6454889446822529,0.815745158867588,2.3882572767271104
0.6394741167588944,0.8107717364929594,2.3736965869732995
0.633481275099901,0.8058261674780283,2.3592174435066537
0.627510339337916,0.8009082969600986,2.344819392935625
0.6215612293993531,0.7960179709217199,2.330501984343291
0.6156338655033227,0.791155036185995,2.316264769273616
0.6097281681605613,0.7863193404119135,2.3021073017177915
0.6038440581723663,0.78151073208971,2.288029138100645
0.5979814566295338,0.7767290605362471,2.274029837267123
0.5921402849113,0.7719741758904226,2.2601089604688434
0.5863204646842868,0.7672459291086018,2.246266071350726
0.5805219179014514,0.7625441719600735,2.2325007359376854
0.5747445668010405,0.7578687570225301,2.2188125226214
0.5689883339055464,0.7532195376775723,2.205201002147151
0.5632531420206677,0.7485963681062369,2.1916657476007275
0.5575389142342759,0.7439991032845487,2.1782063343954077
0.5518455739153818,0.7394275989790959,2.1648223402589997
0.5461730447131092,0.7348817117426293,2.1515133452209616
0.5405212505556709,0.7303612989096833,2.1382789315995794
0.5348901156493475,0.7258662185922223,2.1251186839892204
0.5292795644774722,0.7213963296753082,2.11203218924765
0.5236895217994177,0.7169514918127915,2.099019036483417
0.5181199126495868,0.7125315654230251,2.0860788170433024
0.5125706623364072,0.7081364116846011,2.0732111244998404
0.5070416964413305,0.7037658925321085,2.0604155546388983
0.5015329408178333,0.6994198706519155,2.0476917054473263
0.4960443215904231,0.6950982094779714,2.0350391771006686
0.4905757651536482,0.6908007731876332,2.022457571950944
0.48512719817110983,0.6865274266975119,2.0099464945144856
0.47969854757447883,0.6822780356593411,1.997505551459845
